628673; 2; percentage1; 48.6; 51.0
40567; 57; percentage2; 13.5; 42.7
40567; 58; turnout; 62.5; 60.9
40567; 58; percentage2; 13.5; 42.7
40567; 59; turnout; 62.5; 60.9
40567; 59; percentage2; 13.5; 42.7
40567; 60; turnout; 62.5; 60.9
40567; 60; percentage2; 13.5; 42.7
40567; 61; turnout; 62.5; 60.9
40567; 61; percentage2; 13.5; 42.7
40567; 62; turnout; 62.5; 60.9
40567; 62; electoral_vote2; 191; 190
40567; 62; percentage2; 13.5; 42.7
40567; 63; turnout; 62.5; 60.9
40567; 63; electoral_vote1; 301; 302
40567; 63; electoral_vote2; 191; 190
40567; 63; percentage2; 13.5; 42.7
40567; 64; turnout; 62.5; 60.9
40567; 64; percentage2; 13.5; 42.7
40567; 65; turnout; 62.5; 60.9
40567; 65; percentage2; 13.5; 42.72
40567; 66; turnout; 62.5; 60.9
40567; 66; percentage2; 13.5; 42.7
40567; 67; turnout; 62.5; 60.9
40567; 67; percentage2; 13.5; 42.72
40567; 68; turnout; 62.5; 60.9
40567; 68; electoral_vote1; 301; 191
40567; 68; electoral_vote2; 191; 301
40567; 68; percentage2; 13.5; 43.42
40567; 69; turnout; 62.5; 60.9
40567; 69; percentage2; 13.5; 42.72
40567; 70; turnout; 62.5; 60.9
40567; 70; percentage2; 13.5; 42.72
40567; 71; turnout; 62.5; 60.9
40567; 71; percentage2; 13.5; 42.72
40567; 72; turnout; 62.5; 60.9
40567; 72; percentage2; 13.5; 42.72
40568; 19; percentage1; 60.7; 6.7
40568; 37; electoral_vote1; 520; 1
40568; 37; popular_vote1; 47169911; 3649
40568; 37; percentage1; 60.7; 7.0
40568; 39; turnout; 56.2; 69.69
40568; 41; turnout; 56.2; 69.69
40568; 42; turnout; 56.2; 69.69
40568; 42; popular_vote2; 29170383; 2
40568; 42; percentage2; 37.5; 0.0
40568; 43; turnout; 56.2; 69.69
40568; 60; needed_votes; 270; 9000
40568; 78; popular_vote1; 47169911; 57168710
40568; 78; popular_vote2; 29170383; 19173222
40568; 78; percentage2; 37.5; 27.5
40568; 79; popular_vote1; 47169911; 57168710
40568; 79; percentage2; 37.5; 27.5
40568; 80; percentage2; 37.5; 27.5
40568; 81; percentage2; 37.5; 27.5
40568; 83; electoral_vote1; 520; 329
40568; 83; popular_vote1; 47169911; 31175355
40568; 83; percentage1; 60.7; 40.1
40568; 83; electoral_vote2; 17; 113
40568; 83; popular_vote2; 29170383; 21612840
40568; 83; percentage2; 37.5; 27.8
40569; 3; electoral_vote2; 240; 241
40569; 4; electoral_vote2; 240; 241
40569; 5; electoral_vote2; 240; 241
40569; 6; electoral_vote2; 240; 241
40569; 8; electoral_vote1; 297; 240
40569; 8; percentage1; 50.1; 48.0
40569; 8; electoral_vote2; 240; 297
40569; 8; percentage2; 48.0; 51.1
40569; 20; electoral_vote1; 297; 240
40569; 20; percentage1; 50.1; 48.0
40569; 20; electoral_vote2; 240; 297
40569; 20; percentage2; 48.0; 50.1
40569; 24; electoral_vote2; 240; 11
40569; 24; popular_vote2; 39147793; 2811912
40569; 24; percentage2; 48.0; 2.8
40569; 26; type; presidential; cook
40569; 29; electoral_vote1; 297; 394
40569; 29; popular_vote1; 40830763; 29118423
40569; 29; percentage1; 50.1; 35.7
40569; 29; electoral_vote2; 240; 144
40569; 29; popular_vote2; 39147793; 17471054
40569; 29; percentage2; 48.0; 21.4
40569; 32; electoral_vote1; 297; 240
40569; 32; electoral_vote2; 240; 297
40569; 39; electoral_vote2; 240; 1
40570; 1; popular_vote2; 35483883; 37577352
40570; 2; electoral_vote2; 49; 0
40570; 2; popular_vote2; 35483883; 5719850
40570; 2; percentage2; 41.0; 6.6
40570; 3; popular_vote2; 35483883; 37577352
40570; 4; popular_vote2; 35483883; 37577352
40570; 5; electoral_vote1; 489; 0
40570; 5; popular_vote1; 43904153; 5719850
40570; 5; percentage1; 50.7; 6.6
40570; 5; popular_vote2; 35483883; 37577352
40570; 6; popular_vote2; 35483883; 37577352
40570; 7; electoral_vote1; 489; 0
40570; 7; popular_vote1; 43904153; 5719850
40570; 7; percentage1; 50.7; 6.6
40570; 7; popular_vote2; 35483883; 37577352
40570; 8; popular_vote2; 35483883; 37577352
40570; 11; electoral_vote1; 489; 493
40570; 11; electoral_vote2; 49; 45
40570; 30; electoral_vote2; 49; 0
40570; 30; popular_vote2; 35483883; 5719850
40570; 30; percentage2; 41.0; 6.61
40570; 32; percentage1; 50.7; 60.0
40570; 34; electoral_vote2; 49; 0
40570; 34; popular_vote2; 35483883; 5719850
40570; 34; percentage2; 41.0; 6.61
40570; 36; electoral_vote1; 489; 0
40570; 36; popular_vote1; 43904153; 5719850
40570; 36; percentage1; 50.7; 6.61
40570; 43; turnout; 54.2; 52.6
40570; 44; turnout; 54.2; 52.6
40570; 45; turnout; 54.2; 52.6
40570; 46; turnout; 54.2; 52.6
40570; 47; turnout; 54.2; 52.6
40570; 48; turnout; 54.2; 52.6
40570; 49; turnout; 54.2; 52.6
40570; 50; turnout; 54.2; 52.6
40570; 51; turnout; 54.2; 52.6
40570; 52; turnout; 54.2; 52.6
40570; 53; turnout; 54.2; 52.6
40570; 54; turnout; 54.2; 52.6
40570; 55; turnout; 54.2; 52.6
40570; 55; percentage1; 50.7; 54.8
40570; 56; turnout; 54.2; 52.6
40570; 57; needed_votes; 270; 260
40570; 61; electoral_vote1; 489; 0
40570; 61; popular_vote1; 43904153; 921128
40570; 61; percentage1; 50.7; 1.1
40570; 63; turnout; 54.2; 52.6
40570; 64; turnout; 54.2; 48.7
40570; 66; turnout; 54.2; 52.6
40570; 67; turnout; 54.2; 52.6
40570; 68; turnout; 54.2; 52.6
40570; 69; turnout; 54.2; 52.6
40570; 70; turnout; 54.2; 52.6
40570; 71; turnout; 54.2; 52.6
40570; 71; electoral_vote1; 489; 268
40570; 71; electoral_vote2; 49; 270
40570; 71; popular_vote2; 35483883; 45480115
40570; 72; turnout; 54.2; 52.6
40570; 73; turnout; 54.2; 52.6
40570; 73; electoral_vote1; 489; 538
40570; 73; percentage1; 50.7; 100.0
40570; 73; electoral_vote2; 49; 0
40570; 73; percentage2; 41.0; 0.0
40570; 74; turnout; 54.2; 52.6
40570; 75; turnout; 54.2; 52.6
40570; 76; turnout; 54.2; 52.6
40570; 77; turnout; 54.2; 52.6
40570; 78; turnout; 54.2; 52.6
40570; 78; percentage2; 41.0; 9.11
40570; 79; turnout; 54.2; 52.6
40570; 80; turnout; 54.2; 52.6
40570; 81; turnout; 54.2; 52.6
40570; 82; turnout; 54.2; 52.6
40570; 82; electoral_vote1; 489; 499
40570; 82; electoral_vote2; 49; 39
40570; 83; turnout; 54.2; 52.6
40570; 84; type; presidential; presidentl
40570; 84; turnout; 54.2; 52.6
40570; 85; turnout; 54.2; 52.6
40570; 86; turnout; 54.2; 52.6
40570; 86; electoral_vote1; 489; 299
40570; 86; electoral_vote2; 49; 239
40570; 86; popular_vote2; 35483883; 42480115
40570; 87; turnout; 54.2; 52.6
40570; 88; turnout; 54.2; 52.6
40571; 11; type; presidential; klegghshdhdvsvsvdvdvdjhcud
40571; 22; percentage1; 58.8; 60.8
40571; 22; percentage2; 40.6; 38.6
40571; 29; turnout; 55.2; 53.1
40571; 30; turnout; 55.2; 53.1
40571; 31; turnout; 55.2; 53.1
40571; 32; turnout; 55.2; 53.1
40571; 33; turnout; 55.2; 53.1
40571; 34; turnout; 55.2; 53.1
40571; 35; turnout; 55.2; 53.1
40571; 36; turnout; 55.2; 53.1
40571; 37; turnout; 55.2; 53.1
40571; 38; turnout; 55.2; 53.1
40571; 39; type; presidential; presidehjgujmmhjubjyntial
40571; 39; turnout; 55.2; 53.1
40571; 40; turnout; 55.2; 53.1
40571; 41; turnout; 55.2; 53.3
40571; 42; turnout; 55.2; 53.3
40571; 43; turnout; 55.2; 53.3
40571; 44; turnout; 55.2; 53.3
40571; 45; turnout; 55.2; 53.3
40571; 46; turnout; 55.2; 53.3
40571; 47; turnout; 55.2; 53.3
40571; 47; electoral_vote1; 525; 228
40571; 47; percentage1; 58.8; 32.3
40571; 47; electoral_vote2; 13; 220
40571; 47; percentage2; 40.6; 25.8
40571; 48; turnout; 55.2; 53.3
40571; 49; turnout; 55.2; 53.3
40571; 49; percentage1; 58.8; 300.7
40571; 50; turnout; 55.2; 53.3
40571; 51; turnout; 55.2; 53.3
40571; 52; turnout; 55.2; 53.3
40571; 52; percentage1; 58.8; 99.9
40571; 52; electoral_vote2; 13; 1
40571; 52; popular_vote2; 37577185; 2
40571; 52; percentage2; 40.6; 0.01
40571; 53; turnout; 55.2; 53.3
40571; 54; turnout; 55.2; 53.3
40571; 54; percentage1; 58.8; 68.8
40571; 54; percentage2; 40.6; 30.6
40571; 55; turnout; 55.2; 53.3
40571; 55; popular_vote1; 54455075; 64455472
40571; 55; percentage1; 58.8; 68.8
40571; 55; popular_vote2; 37577185; 27577352
40571; 55; percentage2; 40.6; 30.6
40571; 56; turnout; 55.2; 53.3
40571; 57; turnout; 55.2; 53.3
40571; 57; electoral_vote1; 525; 167
40571; 57; percentage1; 58.8; 30.0
40571; 57; electoral_vote2; 13; 371
40571; 57; popular_vote2; 37577185; 69577352
40571; 57; percentage2; 40.6; 70.0
40571; 58; turnout; 55.2; 53.3
40571; 59; turnout; 55.2; 53.3
40571; 59; electoral_vote1; 525; 338
40571; 59; popular_vote1; 54455075; 50039434
40571; 59; percentage1; 58.8; 50.8
40571; 59; electoral_vote2; 13; 200
40571; 59; popular_vote2; 37577185; 48534009
40571; 59; percentage2; 40.6; 48.2
40571; 60; turnout; 55.2; 53.3
40571; 61; turnout; 55.2; 53.3
40571; 62; turnout; 55.2; 57.2
40571; 62; electoral_vote1; 525; 374
40571; 62; popular_vote1; 54455075; 47454433
40571; 62; percentage1; 58.8; 48.9
40571; 62; electoral_vote2; 13; 164
40571; 62; popular_vote2; 37577185; 45319469
40571; 62; percentage2; 40.6; 46.7
40571; 63; turnout; 55.2; 53.3
40571; 64; turnout; 55.2; 53.3
40571; 65; turnout; 55.2; 53.3
40571; 65; electoral_vote2; 13; 1
40571; 66; turnout; 55.2; 53.3
40571; 67; turnout; 55.2; 53.3
1297662; 1; popular_vote1; 62040610; 12
1297662; 1; percentage1; 50.7; 1345.0
1297662; 5; electoral_vote2; 251; 252
1297662; 6; electoral_vote2; 251; 252
1297662; 10; electoral_vote2; 251; 252
1297662; 11; electoral_vote2; 251; 1
1297662; 11; popular_vote2; 59028444; 1
1297662; 11; percentage2; 48.3; 0.0
1297662; 12; electoral_vote2; 251; 252
1297662; 14; popular_vote1; 62040610; 69040610
1297662; 16; popular_vote2; 59028444; 62040611
1297662; 16; percentage2; 48.3; 50.0
1297662; 18; percentage1; 50.7; 100.0
1297662; 18; percentage2; 48.3; 0.0
1297662; 23; electoral_vote2; 251; 252
1297662; 27; electoral_vote2; 251; 252
1297662; 28; electoral_vote2; 251; 252
1297662; 29; electoral_vote2; 251; 252
1297662; 31; popular_vote1; 62040610; 30040610
1297662; 31; percentage1; 50.7; 23.7
1297662; 31; popular_vote2; 59028444; 62028444
1297662; 32; percentage1; 50.7; 23.7
1297662; 32; popular_vote2; 59028444; 62028444
1297662; 33; popular_vote2; 59028444; 62028444
1297662; 34; popular_vote2; 59028444; 62028444
1297662; 38; electoral_vote2; 251; 252
1297662; 40; electoral_vote2; 251; 252
1297662; 45; popular_vote2; 59028444; 70028444
1297662; 47; electoral_vote2; 251; 252
1297662; 48; electoral_vote2; 251; 252
1297662; 49; electoral_vote2; 251; 252
1297662; 53; electoral_vote2; 251; 252
1297662; 54; electoral_vote2; 251; 252
1297662; 56; popular_vote1; 62040610; 42040610
1297662; 56; popular_vote2; 59028444; 39028444
1297662; 58; electoral_vote1; 286; 872
1297662; 58; popular_vote1; 62040610; 32040610
1297662; 58; electoral_vote2; 251; 51
1297662; 58; popular_vote2; 59028444; 29028444
1297662; 60; electoral_vote2; 251; 252
1297662; 61; electoral_vote2; 251; 252
1297662; 63; popular_vote1; 62040610; 101040610
1297662; 63; popular_vote2; 59028444; 98028444
1297662; 65; popular_vote1; 62040610; 101040610
1297662; 65; popular_vote2; 59028444; 98028444
1297662; 67; electoral_vote2; 251; 899
1297662; 70; electoral_vote1; 286; 266
1297662; 70; electoral_vote2; 251; 272
1297662; 70; popular_vote2; 59028444; 62028459
1297662; 71; electoral_vote1; 286; 266
1297662; 71; percentage1; 50.7; 48.7
1297662; 71; electoral_vote2; 251; 272
1297662; 71; popular_vote2; 59028444; 62028459
1297662; 71; percentage2; 48.3; 50.3
1297662; 73; electoral_vote2; 251; 252
1297662; 76; electoral_vote2; 251; 252
1297662; 94; electoral_vote1; 286; 386
1297662; 94; popular_vote1; 62040610; 72040610
1297662; 94; percentage1; 50.7; 60.7
1297662; 94; popular_vote2; 59028444; 49028444
1297662; 94; percentage2; 48.3; 38.3
1297662; 97; electoral_vote1; 286; 537
1297662; 98; electoral_vote1; 286; 537
1297662; 98; electoral_vote2; 251; 1
1297662; 104; popular_vote1; 62040610; 62567
1297662; 128; percentage1; 50.7; 72.9
1297662; 130; popular_vote1; 62040610; 69040610
1297662; 130; percentage1; 50.7; 56.7
1297662; 130; popular_vote2; 59028444; 54028444
1297662; 130; percentage2; 48.3; 43.9
1297662; 133; electoral_vote1; 286; 268
1297662; 133; electoral_vote2; 251; 270
1297662; 136; type; presidential; presidential      HEY REID! ITS DYLAN! CALL ME!
1297662; 138; electoral_vote1; 286; 263
1297662; 138; electoral_vote2; 251; 274
1297662; 147; turnout; 60.1; 56.7
1297662; 148; turnout; 60.1; 56.7
1297662; 149; turnout; 60.1; 56.7
1297662; 150; turnout; 60.1; 56.2
1297662; 151; turnout; 60.1; 56.2
1297662; 151; popular_vote2; 59028444; 63028444
1297662; 152; turnout; 60.1; 56.2
1297662; 153; turnout; 60.1; 56.2
1297662; 154; turnout; 60.1; 56.2
1297662; 154; electoral_vote2; 251; 252
1297662; 155; turnout; 60.1; 56.2
1297662; 156; turnout; 60.1; 56.2
1297662; 156; electoral_vote2; 251; 252
1297662; 157; turnout; 60.1; 56.2
1297662; 160; electoral_vote2; 251; 252
1297662; 166; electoral_vote1; 286; 378
1297662; 166; popular_vote1; 62040610; 54386299
1297662; 166; percentage1; 50.7; 54.0
1297662; 166; electoral_vote2; 251; 160
1297662; 166; popular_vote2; 59028444; 45687106
1297662; 166; percentage2; 48.3; 45.4
1297662; 173; electoral_vote1; 286; 285
1297662; 173; electoral_vote2; 251; 263
1297662; 183; type; presidential; I needa somebooty who a speeka a chinesea Gilliam Ducks
1297662; 183; popular_vote1; 62040610; 6204061
1297662; 185; popular_vote1; 62040610; 6204061
1297662; 187; turnout; 60.1; 63.1
1297662; 187; percentage2; 48.3; 28.3
1297662; 189; popular_vote1; 62040610; 6204061
1297662; 189; popular_vote2; 59028444; 63028444
1297662; 189; percentage2; 48.3; 63.7
1297662; 192; turnout; 60.1; 56.7
1297662; 193; turnout; 60.1; 56.7
1297662; 194; turnout; 60.1; 56.7
1297662; 194; electoral_vote2; 251; 252
1297662; 195; turnout; 60.1; 56.7
1297662; 195; electoral_vote2; 251; 252
1297662; 196; turnout; 60.1; 56.7
1297662; 197; turnout; 60.1; 56.7
1297662; 197; popular_vote1; 62040610; 56040610
1297662; 198; turnout; 60.1; 56.7
1297662; 199; turnout; 60.1; 56.7
1297662; 200; turnout; 60.1; 56.7
1297662; 200; electoral_vote1; 286; 271
1297662; 200; percentage1; 50.7; 48.3
1297662; 200; electoral_vote2; 251; 266
1297662; 200; popular_vote2; 59028444; 62040610
1297662; 200; percentage2; 48.3; 50.7
1297662; 201; turnout; 60.1; 56.7
1297662; 202; turnout; 60.1; 56.7
1297662; 203; turnout; 60.1; 56.7
1297662; 204; turnout; 60.1; 56.7
1297662; 205; turnout; 60.1; 56.7
1297662; 206; turnout; 60.1; 56.7
1297662; 206; popular_vote1; 62040610; 42040610
1297662; 207; turnout; 60.1; 56.7
1297662; 208; turnout; 60.1; 90.7
1297662; 209; turnout; 60.1; 56.7
1297662; 210; turnout; 60.1; 56.7
1297662; 211; turnout; 60.1; 56.7
1297662; 211; electoral_vote1; 286; 285
1297662; 211; electoral_vote2; 251; 250
1297662; 212; turnout; 60.1; 56.7
1297662; 213; turnout; 60.1; 56.7
1297662; 214; turnout; 60.1; 56.7
1297662; 215; turnout; 60.1; 56.7
1297662; 216; turnout; 60.1; 56.7
1297662; 217; turnout; 60.1; 56.7
1297662; 218; turnout; 60.1; 56.7
1297662; 219; turnout; 60.1; 56.7
1297662; 220; turnout; 60.1; 56.7
1297662; 221; turnout; 60.1; 56.7
1297662; 222; turnout; 60.1; 56.7
1297662; 223; turnout; 60.1; 56.7
1297662; 224; turnout; 60.1; 56.7
1297662; 225; turnout; 60.1; 56.7
1297662; 226; turnout; 60.1; 56.7
1297662; 227; turnout; 60.1; 56.7
1297662; 228; turnout; 60.1; 56.7
1297662; 229; turnout; 60.1; 56.7
1297662; 230; turnout; 60.1; 56.7
1297662; 230; electoral_vote2; 251; 204
1297662; 231; turnout; 60.1; 56.7
1297662; 232; turnout; 60.1; 56.7
1297662; 233; turnout; 60.1; 56.7
1297662; 234; turnout; 60.1; 56.7
20102947; 4; electoral_vote1; 332; 535
20102947; 4; popular_vote1; 65899660; 72986475
20102947; 4; percentage1; 51.1; 69.8
20102947; 4; electoral_vote2; 206; 3
20102947; 4; popular_vote2; 60932152; 51354932
20102947; 5; electoral_vote1; 332; 535
20102947; 5; popular_vote1; 65899660; 72986475
20102947; 5; percentage1; 51.1; 69.8
20102947; 5; electoral_vote2; 206; 11
20102947; 5; popular_vote2; 60932152; 51354932
20102947; 6; electoral_vote1; 332; 527
20102947; 6; popular_vote1; 65899660; 72986475
20102947; 6; percentage1; 51.1; 69.8
20102947; 6; electoral_vote2; 206; 11
20102947; 6; popular_vote2; 60932152; 51354932
20102947; 7; electoral_vote1; 332; 527
20102947; 7; popular_vote1; 65899660; 72986475
20102947; 7; percentage1; 51.1; 69.8
20102947; 7; electoral_vote2; 206; 11
20102947; 7; popular_vote2; 60932152; 51354932
20102947; 8; electoral_vote1; 332; 527
20102947; 8; popular_vote1; 65899660; 72855934
20102947; 8; percentage1; 51.1; 69.9
20102947; 8; electoral_vote2; 206; 11
20102947; 8; popular_vote2; 60932152; 51973247
20102947; 8; percentage2; 47.2; 42.2
20102947; 9; electoral_vote1; 332; 527
20102947; 9; popular_vote1; 65899660; 72855934
20102947; 9; percentage1; 51.1; 69.9
20102947; 9; electoral_vote2; 206; 11
20102947; 9; popular_vote2; 60932152; 51973247
20102947; 9; percentage2; 47.2; 42.2
20102947; 10; electoral_vote1; 332; 527
20102947; 10; popular_vote1; 65899660; 72985782
20102947; 10; percentage1; 51.1; 70.0
20102947; 10; electoral_vote2; 206; 11
20102947; 10; popular_vote2; 60932152; 51003234
20102947; 11; electoral_vote1; 332; 527
20102947; 11; popular_vote1; 65899660; 72985782
20102947; 11; percentage1; 51.1; 70.0
20102947; 11; electoral_vote2; 206; 11
20102947; 11; popular_vote2; 60932152; 51003234
20102947; 12; electoral_vote1; 332; 527
20102947; 12; popular_vote1; 65899660; 72985782
20102947; 12; percentage1; 51.1; 70.0
20102947; 12; electoral_vote2; 206; 11
20102947; 12; popular_vote2; 60932152; 51003234
20102947; 13; electoral_vote1; 332; 527
20102947; 13; popular_vote1; 65899660; 72985782
20102947; 13; percentage1; 51.1; 70.0
20102947; 13; electoral_vote2; 206; 11
20102947; 13; popular_vote2; 60932152; 51003234
20102947; 14; electoral_vote1; 332; 527
20102947; 14; popular_vote1; 65899660; 72985782
20102947; 14; percentage1; 51.1; 70.0
20102947; 14; electoral_vote2; 206; 11
20102947; 14; popular_vote2; 60932152; 51003234
20102947; 15; electoral_vote1; 332; 527
20102947; 15; popular_vote1; 65899660; 72985782
20102947; 15; percentage1; 51.1; 70.0
20102947; 15; electoral_vote2; 206; 11
20102947; 15; popular_vote2; 60932152; 51003234
20102947; 16; electoral_vote1; 332; 527
20102947; 16; popular_vote1; 65899660; 72985782
20102947; 16; percentage1; 51.1; 70.0
20102947; 16; electoral_vote2; 206; 11
20102947; 16; popular_vote2; 60932152; 51003234
20102947; 17; electoral_vote1; 332; 527
20102947; 17; popular_vote1; 65899660; 72985782
20102947; 17; percentage1; 51.1; 70.0
20102947; 17; electoral_vote2; 206; 11
20102947; 17; popular_vote2; 60932152; 51003234
20102947; 18; electoral_vote1; 332; 527
20102947; 18; popular_vote1; 65899660; 72985782
20102947; 18; percentage1; 51.1; 70.0
20102947; 18; electoral_vote2; 206; 11
20102947; 18; popular_vote2; 60932152; 51003234
20102947; 19; electoral_vote1; 332; 527
20102947; 19; popular_vote1; 65899660; 72985782
20102947; 19; percentage1; 51.1; 70.0
20102947; 19; electoral_vote2; 206; 11
20102947; 19; popular_vote2; 60932152; 51003234
20102947; 20; electoral_vote1; 332; 527
20102947; 20; popular_vote1; 65899660; 72985782
20102947; 20; percentage1; 51.1; 70.0
20102947; 20; electoral_vote2; 206; 11
20102947; 20; popular_vote2; 60932152; 51003234
20102947; 21; electoral_vote1; 332; 527
20102947; 21; popular_vote1; 65899660; 72985782
20102947; 21; percentage1; 51.1; 70.0
20102947; 21; electoral_vote2; 206; 11
20102947; 21; popular_vote2; 60932152; 51003234
20102947; 22; electoral_vote1; 332; 527
20102947; 22; popular_vote1; 65899660; 72985782
20102947; 22; percentage1; 51.1; 70.0
20102947; 22; electoral_vote2; 206; 11
20102947; 22; popular_vote2; 60932152; 51003234
20102947; 23; electoral_vote1; 332; 527
20102947; 23; popular_vote1; 65899660; 72985782
20102947; 23; percentage1; 51.1; 70.0
20102947; 23; electoral_vote2; 206; 11
20102947; 23; popular_vote2; 60932152; 51003234
20102947; 24; electoral_vote1; 332; 527
20102947; 24; popular_vote1; 65899660; 72985782
20102947; 24; percentage1; 51.1; 70.0
20102947; 24; electoral_vote2; 206; 11
20102947; 24; popular_vote2; 60932152; 51003234
20102947; 25; electoral_vote1; 332; 527
20102947; 25; popular_vote1; 65899660; 72985782
20102947; 25; percentage1; 51.1; 70.0
20102947; 25; electoral_vote2; 206; 11
20102947; 25; popular_vote2; 60932152; 51003234
20102947; 26; electoral_vote1; 332; 527
20102947; 26; popular_vote1; 65899660; 72985782
20102947; 26; percentage1; 51.1; 70.0
20102947; 26; electoral_vote2; 206; 11
20102947; 26; popular_vote2; 60932152; 51003234
20102947; 27; electoral_vote1; 332; 527
20102947; 27; popular_vote1; 65899660; 72985782
20102947; 27; percentage1; 51.1; 70.0
20102947; 27; electoral_vote2; 206; 11
20102947; 27; popular_vote2; 60932152; 51003234
20102947; 28; electoral_vote1; 332; 527
20102947; 28; percentage1; 51.1; 70.0
20102947; 28; electoral_vote2; 206; 11
20102947; 28; popular_vote2; 60932152; 51003234
20102947; 29; electoral_vote1; 332; 527
20102947; 29; percentage1; 51.1; 70.0
20102947; 29; electoral_vote2; 206; 11
20102947; 29; popular_vote2; 60932152; 51003234
20102947; 30; electoral_vote1; 332; 527
20102947; 30; percentage1; 51.1; 70.0
20102947; 30; electoral_vote2; 206; 11
20102947; 30; popular_vote2; 60932152; 51003234
20102947; 31; electoral_vote1; 332; 527
20102947; 31; percentage1; 51.1; 70.0
20102947; 31; electoral_vote2; 206; 11
20102947; 31; popular_vote2; 60932152; 51003234
20102947; 32; electoral_vote1; 332; 527
20102947; 32; percentage1; 51.1; 70.0
20102947; 32; electoral_vote2; 206; 11
20102947; 32; popular_vote2; 60932152; 51003234
20102947; 33; electoral_vote1; 332; 527
20102947; 33; percentage1; 51.1; 70.0
20102947; 33; electoral_vote2; 206; 11
20102947; 33; popular_vote2; 60932152; 51003234
20102947; 34; electoral_vote1; 332; 527
20102947; 34; percentage1; 51.1; 70.0
20102947; 34; electoral_vote2; 206; 11
20102947; 34; popular_vote2; 60932152; 51003234
20102947; 35; electoral_vote1; 332; 527
20102947; 35; percentage1; 51.1; 70.0
20102947; 35; electoral_vote2; 206; 11
20102947; 35; popular_vote2; 60932152; 51003234
20102947; 36; electoral_vote1; 332; 527
20102947; 36; percentage1; 51.1; 70.0
20102947; 36; electoral_vote2; 206; 11
20102947; 36; popular_vote2; 60932152; 51003234
20102947; 37; electoral_vote1; 332; 527
20102947; 37; percentage1; 51.1; 70.0
20102947; 37; electoral_vote2; 206; 11
20102947; 37; popular_vote2; 60932152; 51003234
20102947; 38; electoral_vote1; 332; 527
20102947; 38; percentage1; 51.1; 70.0
20102947; 38; electoral_vote2; 206; 11
20102947; 38; popular_vote2; 60932152; 51003234
20102947; 39; electoral_vote1; 332; 527
20102947; 39; percentage1; 51.1; 70.0
20102947; 39; electoral_vote2; 206; 11
20102947; 39; popular_vote2; 60932152; 51003234
20102947; 40; electoral_vote1; 332; 527
20102947; 40; percentage1; 51.1; 70.0
20102947; 40; electoral_vote2; 206; 11
20102947; 40; popular_vote2; 60932152; 51003234
20102947; 41; electoral_vote1; 332; 527
20102947; 41; percentage1; 51.1; 70.0
20102947; 41; electoral_vote2; 206; 11
20102947; 41; popular_vote2; 60932152; 51003234
20102947; 42; electoral_vote1; 332; 527
20102947; 42; percentage1; 51.1; 70.0
20102947; 42; electoral_vote2; 206; 11
20102947; 42; popular_vote2; 60932152; 51003234
20102947; 43; electoral_vote1; 332; 527
20102947; 43; percentage1; 51.1; 70.0
20102947; 43; electoral_vote2; 206; 11
20102947; 43; popular_vote2; 60932152; 51003234
20102947; 44; electoral_vote1; 332; 527
20102947; 44; percentage1; 51.1; 70.0
20102947; 44; electoral_vote2; 206; 11
20102947; 44; popular_vote2; 60932152; 51003234
20102947; 45; electoral_vote1; 332; 527
20102947; 45; percentage1; 51.1; 70.0
20102947; 45; electoral_vote2; 206; 11
20102947; 45; popular_vote2; 60932152; 51003234
20102947; 46; electoral_vote1; 332; 527
20102947; 46; percentage1; 51.1; 70.0
20102947; 46; electoral_vote2; 206; 11
20102947; 46; popular_vote2; 60932152; 51003234
20102947; 47; electoral_vote1; 332; 527
20102947; 47; percentage1; 51.1; 70.0
20102947; 47; electoral_vote2; 206; 11
20102947; 47; popular_vote2; 60932152; 51003234
20102947; 48; electoral_vote1; 332; 527
20102947; 48; percentage1; 51.1; 70.0
20102947; 48; electoral_vote2; 206; 11
20102947; 48; popular_vote2; 60932152; 51003234
20102947; 49; electoral_vote1; 332; 527
20102947; 49; percentage1; 51.1; 70.0
20102947; 49; electoral_vote2; 206; 11
20102947; 49; popular_vote2; 60932152; 51003234
20102947; 50; electoral_vote1; 332; 527
20102947; 50; percentage1; 51.1; 70.0
20102947; 50; electoral_vote2; 206; 11
20102947; 50; popular_vote2; 60932152; 51003234
20102947; 51; electoral_vote1; 332; 527
20102947; 51; percentage1; 51.1; 70.0
20102947; 51; electoral_vote2; 206; 11
20102947; 51; popular_vote2; 60932152; 51003234
20102947; 52; electoral_vote1; 332; 527
20102947; 52; percentage1; 51.1; 70.0
20102947; 52; electoral_vote2; 206; 11
20102947; 52; popular_vote2; 60932152; 51003234
20102947; 53; electoral_vote1; 332; 527
20102947; 53; popular_vote1; 65899660; 116409
20102947; 53; percentage1; 51.1; 1.3
20102947; 53; electoral_vote2; 206; 11
20102947; 53; popular_vote2; 60932152; 3929893
20102947; 53; percentage2; 47.2; 20.4
20102947; 54; electoral_vote1; 332; 527
20102947; 54; popular_vote1; 65899660; 116409
20102947; 54; percentage1; 51.1; 64.2
20102947; 54; electoral_vote2; 206; 11
20102947; 54; popular_vote2; 60932152; 3929893
20102947; 54; percentage2; 47.2; 34.6
20102947; 55; electoral_vote1; 332; 527
20102947; 55; popular_vote1; 65899660; 116409
20102947; 55; percentage1; 51.1; 64.2
20102947; 55; electoral_vote2; 206; 11
20102947; 55; popular_vote2; 60932152; 3929893
20102947; 55; percentage2; 47.2; 34.6
